LOCATION,TIME,Value
CAN,2004-01,81.61707
CAN,2004-02,81.77509
CAN,2004-03,82.09113
CAN,2004-04,82.24915
CAN,2004-05,82.96023
CAN,2004-06,83.03924
CAN,2004-07,82.96023
CAN,2004-08,82.80222
CAN,2004-09,82.96023
CAN,2004-10,83.11825
CAN,2004-11,83.43429
CAN,2004-12,83.27627
CAN,2005-01,83.19726
CAN,2005-02,83.5133
CAN,2005-03,83.98736
CAN,2005-04,84.22439
CAN,2005-05,84.3034
CAN,2005-06,84.46142
CAN,2005-07,84.61944
CAN,2005-08,84.93548
CAN,2005-09,85.64656
CAN,2005-10,85.25151
CAN,2005-11,85.0935
CAN,2005-12,85.01449
CAN,2006-01,85.48854
CAN,2006-02,85.33052
CAN,2006-03,85.80458
CAN,2006-04,86.27864
CAN,2006-05,86.67369
CAN,2006-06,86.51567
CAN,2006-07,86.59468
CAN,2006-08,86.7527
CAN,2006-09,86.27864
CAN,2006-10,86.12062
CAN,2006-11,86.27864
CAN,2006-12,86.43666
CAN,2007-01,86.43666
CAN,2007-02,87.06874
CAN,2007-03,87.77982
CAN,2007-04,88.17487
CAN,2007-05,88.56992
CAN,2007-06,88.4119
CAN,2007-07,88.49091
CAN,2007-08,88.25388
CAN,2007-09,88.4119
CAN,2007-10,88.17487
CAN,2007-11,88.4119
CAN,2007-12,88.49091
CAN,2008-01,88.33289
CAN,2008-02,88.64893
CAN,2008-03,88.96497
CAN,2008-04,89.67606
CAN,2008-05,90.54517
CAN,2008-06,91.17725
CAN,2008-07,91.49329
CAN,2008-08,91.33527
CAN,2008-09,91.41428
CAN,2008-10,90.46616
CAN,2008-11,90.15012
CAN,2008-12,89.51804
CAN,2009-01,89.28101
CAN,2009-02,89.91309
CAN,2009-03,90.07111
CAN,2009-04,89.9921
CAN,2009-05,90.62418
CAN,2009-06,90.94022
CAN,2009-07,90.62418
CAN,2009-08,90.62418
CAN,2009-09,90.62418
CAN,2009-10,90.54517
CAN,2009-11,91.01923
CAN,2009-12,90.70319
CAN,2010-01,90.94022
CAN,2010-02,91.33527
CAN,2010-03,91.33527
CAN,2010-04,91.65131
CAN,2010-05,91.88834
CAN,2010-06,91.80933
CAN,2010-07,92.28338
CAN,2010-08,92.20437
CAN,2010-09,92.36239
CAN,2010-10,92.75744
CAN,2010-11,92.83645
CAN,2010-12,92.83645
CAN,2011-01,93.07348
CAN,2011-02,93.31051
CAN,2011-03,94.33763
CAN,2011-04,94.65367
CAN,2011-05,95.28575
CAN,2011-06,94.65367
CAN,2011-07,94.81169
CAN,2011-08,95.04872
CAN,2011-09,95.28575
CAN,2011-10,95.44377
CAN,2011-11,95.52278
CAN,2011-12,94.96971
CAN,2012-01,95.36476
CAN,2012-02,95.75981
CAN,2012-03,96.15486
CAN,2012-04,96.54991
CAN,2012-05,96.4709
CAN,2012-06,96.07585
CAN,2012-07,95.99684
CAN,2012-08,96.23387
CAN,2012-09,96.39189
CAN,2012-10,96.54991
CAN,2012-11,96.31288
CAN,2012-12,95.75981
CAN,2013-01,95.83882
CAN,2013-02,96.94495
CAN,2013-03,97.10297
CAN,2013-04,96.94495
CAN,2013-05,97.18198
CAN,2013-06,97.18198
CAN,2013-07,97.26099
CAN,2013-08,97.26099
CAN,2013-09,97.41901
CAN,2013-10,97.18198
CAN,2013-11,97.18198
CAN,2013-12,96.94495
CAN,2014-01,97.26099
CAN,2014-02,98.05109
CAN,2014-03,98.60416
CAN,2014-04,98.9202
CAN,2014-05,99.39426
CAN,2014-06,99.47327
CAN,2014-07,99.31525
CAN,2014-08,99.31525
CAN,2014-09,99.39426
CAN,2014-10,99.47327
CAN,2014-11,99.07822
CAN,2014-12,98.36713
CAN,2015-01,98.20911
CAN,2015-02,99.07822
CAN,2015-03,99.78931
CAN,2015-04,99.7103
CAN,2015-05,100.2634
CAN,2015-06,100.5004
CAN,2015-07,100.5794
CAN,2015-08,100.5794
CAN,2015-09,100.4214
CAN,2015-10,100.5004
CAN,2015-11,100.4214
CAN,2015-12,99.94733
CAN,2016-01,100.1844
CAN,2016-02,100.4214
CAN,2016-03,101.0535
CAN,2016-04,101.3695
CAN,2016-05,101.7645
CAN,2016-06,102.0016
CAN,2016-07,101.8436
CAN,2016-08,101.6855
CAN,2016-09,101.7645
CAN,2016-10,102.0016
CAN,2016-11,101.6065
CAN,2016-12,101.4485
CAN,2017-01,102.3176
CAN,2017-02,102.4756
CAN,2017-03,102.6337
CAN,2017-04,103.0287
CAN,2017-05,103.1077
CAN,2017-06,103.0287
